name,time,mean_value
ping4,1505526300000000000,0.031949
ping4,1505526600000000000,0.032021
ping4,1505526900000000000,0.031523
ping4,1505527200000000000,0.031633
ping4,1505527500000000000,0.031435
ping4,1505527800000000000,0.031451
ping4,1505528100000000000,0.031469
ping4,1505528400000000000,0.031693
ping4,1505528700000000000,0.031942
ping4,1505529000000000000,0.03196
ping4,1505529300000000000,0.031983
ping4,1505529600000000000,0.032021
ping4,1505529900000000000,0.031971
ping4,1505530200000000000,0.032063
ping4,1505530500000000000,0.032021
ping4,1505530800000000000,0.031914
ping4,1505531100000000000,0.032045
ping4,1505531400000000000,0.032019
ping4,1505531700000000000,0.031485
ping4,1505532000000000000,0.031611
ping4,1505532300000000000,0.031589
ping4,1505532600000000000,0.031567
ping4,1505532900000000000,0.031496
ping4,1505533200000000000,0.031561
ping4,1505533500000000000,0.031625
ping4,1505533800000000000,0.031593
ping4,1505534100000000000,0.031888
ping4,1505534400000000000,0.031488
ping4,1505534700000000000,0.031552
ping4,1505535000000000000,0.031624
ping4,1505535300000000000,0.03144
ping4,1505535600000000000,0.031544
ping4,1505535900000000000,0.03149
ping4,1505536200000000000,0.031555
ping4,1505536500000000000,0.031454
ping4,1505536800000000000,0.031423
ping4,1505537100000000000,0.031578
ping4,1505537400000000000,0.031507
ping4,1505537700000000000,0.031481
ping4,1505538000000000000,0.031421
ping4,1505538300000000000,0.031426
ping4,1505538600000000000,0.031481
ping4,1505538900000000000,0.031488
ping4,1505539200000000000,0.031516
ping4,1505539500000000000,0.031508
ping4,1505539800000000000,0.031528
ping4,1505540100000000000,0.031516
ping4,1505540400000000000,0.031577
ping4,1505540700000000000,0.031641
ping4,1505541000000000000,0.03149
ping4,1505541300000000000,0.038344
ping4,1505541600000000000,0.031481
ping4,1505541900000000000,0.031464
ping4,1505542200000000000,0.031545
ping4,1505542500000000000,0.031499
ping4,1505542800000000000,0.03162
ping4,1505543100000000000,0.031534
ping4,1505543400000000000,0.03147
ping4,1505543700000000000,0.031491
ping4,1505544000000000000,0.031496
ping4,1505544300000000000,0.031439
ping4,1505544600000000000,0.031572
ping4,1505544900000000000,0.031459
ping4,1505545200000000000,0.031444
ping4,1505545500000000000,0.031489
ping4,1505545800000000000,0.031468
ping4,1505546100000000000,0.031564
ping4,1505546400000000000,0.031544
ping4,1505546700000000000,0.031607
ping4,1505547000000000000,0.031507
ping4,1505547300000000000,0.031448
ping4,1505547600000000000,0.031549
ping4,1505547900000000000,0.031504
ping4,1505548200000000000,0.031727
ping4,1505548500000000000,0.031751
ping4,1505548800000000000,0.031629
ping4,1505549100000000000,0.031637
ping4,1505549400000000000,0.031648
ping4,1505549700000000000,0.031576
ping4,1505550000000000000,0.031686
